Sentiment,Review
positive,"That was my  time in Singapore and I wanted to see something new and without crowds of tourists. Har Par Villa impressed me very much, dioramas are so visual. But not for small kids I think. Also HPV was very cognitive for me as I don't know a lot about Chinese legends. It is free and don't take much..."
positive,I will pass by this place every week as I currently reside next to this attraction (not sure whether you can call it an attraction).
positive,"This is a rather strange place to visit. It has been around for a long time and is open to the public, free of charge. Despite it being free, it was not that popular previously,..."
positive,"This is a garden with numerous dioramas of Chinese legends. The atmosphere is odd and a little tacky. As others have written, it feels like a deserted theme park. The most interesting exhibit for me was the Ten Courts of Hell, but I think it would be too gruesome for most young children. This is a free attraction that is..."
positive,"This is a park with a lot of painted figurines that's supposedly trying to convey certain theme / value e.g. filial piety, good beget good and evil beget evil etc."
positive,"Some might walk away scoffing it as an over-rated place, but is a unique experience that you might not see anywhere else. The MRT line has been extended to Haw..."
positive,This is a very unusual place to visit - like a deserted theme park. Free and fun to walk around and read about the images. Some graphic not for small children.
positive,OK its seen better days but this attraction was the number one tourist spot.
positive,Its free now and although it gets a bad rap from some posters and I can see their point it has a charm. Tacky yes but its a curio worth seeing.
positive,This is truly a unique experience with a great history and is a window into the Singapore culture.
positive,Location is not convenient and premise is poorly maintained
positive,It used to be the place we go to in the past. it was neglected by the Government for years and the whole place is pretty run down. Not recommended.
positive,"This place suffers from a serious lack of publicity! Most Singaporeans I know either think it's long closed or it's not worth bothering with. It's totally free now (even the  courts of hell) like previous reviews said take some shade, there's a lot of uphill climbing, it gets HOT and don't forget your camera!"
positive,"Unique place of interest featuring the best of chinese folklore (Example:  Courts of Hell). A walk through there will remind you the punishment that one is supposed to be getting for the various sins that you commit throughout your lifetime. Good for scaring your children to behave (If you can keep their eyes open, that is!)"
positive,It's amazing that...
positive,Admission is free and it is just next to the Haw Par Villa. What are you waiting for - visit the place now be awed by the statues which tell many stories..
positive,"Calling it a theme park may be a bit exaggerating, but it was really fun to watch all those ancient Chinese myths/stories sculptures. The  courts of Hell were both scary and hilarious at the same time. I visited the Hong Kong Haw Par Villa long long time ago as a kid and now that the Hong Kong one is..."
positive,"I was here when in ' couldnt remember what it was like back then. But now its free for the entrance fee. And not so crowded like the universal studio, no food seller, i think because lack of customer."
positive,"In front lies mrt station, which was very great if you had never been to this park. You should try. Especially..."
positive,I first visited Tiger balm gardens in -.
positive,"It was clean & well looked after. Now it is looking very shabby, witj lumps of conrete falling off."
positive,"The entrance has faired better,& is just as I remembered it - bright & maintained properly. However further in you can see the decay, but they do seem to be coming to grips..."
positive,The tiger balm garden was really very nice. It gave me an exceptionally good peace of mind.
positive,"This might be the weirdest/ most freaky ""amusement park"" you have ever been to.... We were visiting Singapore for a couple of days and a friend of mine that has been living there for - years said that after we had done all the tourist things we had to do something really different... and, boy, was it different...! Its this..."
positive,Compared to all the other attractions in Singapore this place of history highlights a uniqueness and character of a past time when Singapore was a mere quaint little nation. Its beauty lies in its charm that is basically unchanged since it was first set up in the late 's by the two brothers that made 'Tiger Balm'. If you are...
positive,"i saw the pictures in a guide book and was compelled to visit but have to admit that it was a complete surprise. The whole attraction is obviously in need of a cash injection and a marketing revamp, such a shame that it has been left to stagnate as it could be so much more than it is at the..."
positive,What were they thinking when they designed this place for their children? The  paths to hell! It was like a puppet show but gory. It was tacky and not worth the entry fee! Don't bother taking a camera if you do the bus tour that stops there. There is a statue of liberty with an asian face! Weird!!!! My...
positive,"We visited Haw Par Villa in Aug . This is the second time we have visited here - first time was in  when last in Singapore. Still it was fascinating, gruesome, bizarre and at the same time very interesting. Built in , Haw Par Villa describes Chinese folklore."
positive,We only went to Haw Paw Villa as my husband had business to attend to nearby. The villa itself is rather dated but has an interesting story and history.
positive,What was exceptionally good though is the new Chinese Immigration Museum located within the gardens.
positive,We had a guided tour (S$.) by a lovely gentleman called Richard who explained that this...
positive,"The concierge at our hotel and our taxi driver both tried to dissuade us, to not waste our time with Haw Par Villa but we had heard it was quite interesting and were determined to see for ourselves. Of all the sights and places of interest that we visited ,I think this was the least interesting and as we were..."
positive,I wasn't sure what to expect from Haw Par Villa and the only thing I knew was that it was old amusement park built in the 's that was now a free attraction. We took a taxi that cost about $ from our hotel. Haw Par Villa is a bizarre and vivid mix of statues that show or explain Chinese...
